team,games_played,wins,loses,average_game_duration,kills,deaths,kd,combined_kills_per_minute,gold_percent_rating,gold_spent_difference,early_game_rating,mid_late_rating,gold_diff_15,first_blood_rate,first_tower_rate,first_to_three_towers_rate,turrent_plates_destroyed,rift_herald_rate,first_dragon_rate,dragon_control_rate,first_baron_rate,baron_control_rate,lane_control,jungle_control,wards_per_minute,control_wards_per_minute,wards_cleared_per_minute
Ä°stanbul Wildcats,5,0,5,32.1,58,109,0.53,1.04,-2.63,-14.20%,19.9,-19.9,-3082,20%,40%,0%,3.2,22%,40%,35%,0%,14%,47.70%,44.20%,2.68,0.92,1.18
Beyond Gaming,5,2,3,31.9,66,72,0.92,0.87,-0.79,-2.60%,53.6,-13.6,-275,40%,60%,40%,4.4,40%,60%,50%,60%,38%,48.80%,48.00%,2.98,1.33,1.3
Chiefs Esports Club,5,0,5,28.1,44,97,0.45,1,-3.06,-15.40%,20.7,-20.7,-2973,20%,0%,20%,2.2,30%,60%,41%,0%,0%,49.40%,40.80%,3.42,1.23,1.15
DetonatioN FocusMe,14,7,7,32.7,194,224,0.87,0.91,-0.11,-1.90%,50.1,-0.1,-9,43%,64%,50%,3.7,43%,57%,43%,43%,42%,50.50%,49.00%,2.91,1.28,1.41
DRX,5,5,0,30,92,37,2.49,0.86,1.55,10.80%,62.8,37.2,2387,40%,80%,80%,4.2,67%,40%,55%,60%,57%,52.90%,51.80%,3.1,1.29,1.32
Evil Geniuses,10,8,2,31,173,83,2.08,0.82,1.5,9.00%,66.4,13.6,1496,50%,60%,70%,5.5,65%,60%,55%,80%,83%,50.50%,52.90%,2.86,1,1.44
Fnatic,5,4,1,30.7,76,47,1.62,0.8,1.26,10.10%,48.1,31.9,521,40%,80%,60%,4.6,50%,0%,61%,60%,71%,51.70%,59.40%,3.45,1.05,1.47
Isurus,5,1,4,29.4,53,115,0.46,1.14,-2.68,-15.70%,23.7,-3.7,-3520,20%,0%,20%,1.8,10%,40%,35%,20%,14%,48.80%,43.60%,2.84,1.05,1.42
LOUD,10,4,6,30.3,143,175,0.82,1.05,-0.44,-4.20%,51,-11,-151,70%,30%,40%,3.6,55%,60%,51%,50%,54%,49.00%,48.60%,3.33,1.54,1.15
MAD Lions,12,6,6,31.7,162,163,0.99,0.86,0.27,-0.40%,51.1,-1.1,155,75%,67%,58%,5.1,63%,33%,40%,58%,61%,49.70%,52.90%,3.14,1.22,1.48
Royal Never Give Up,9,7,2,32.9,162,87,1.86,0.84,2.37,14.40%,76.6,1.1,2709,89%,67%,89%,5.9,67%,67%,71%,89%,77%,51.10%,55.60%,3.21,1.31,1.7
Saigon Buffalo,9,3,6,30,113,128,0.88,0.89,-0.52,-1.30%,42.1,-8.7,-539,33%,22%,33%,4,50%,56%,56%,33%,36%,49.50%,47.30%,3.19,1.2,1.48
